"participant","scenario","epistemic_condition","hadto","probablity","morality","normality"
4,"scenario 1","knowledge","0","7","0","0"
7,"scenario 1","knowledge","51","51","51","51"
10,"scenario 1","knowledge","40","70","51","52"
12,"scenario 1","knowledge","80","39","64","41"
16,"scenario 1","knowledge","87","96","99","99"
22,"scenario 1","knowledge","100","66","100","100"
30,"scenario 1","knowledge","34","100","100","100"
31,"scenario 1","knowledge","100","100","100","100"
33,"scenario 1","knowledge","24","28","77","14"
35,"scenario 1","knowledge","100","100","100","100"
47,"scenario 1","knowledge","0","0","0","0"
51,"scenario 1","knowledge","0","0","0","0"
55,"scenario 1","knowledge","0","0","0","0"
58,"scenario 1","knowledge","2","19","9","1"
61,"scenario 1","knowledge","0","12","4","0"
64,"scenario 1","knowledge","39","71","52","91"
73,"scenario 1","knowledge","58","31","81","21"
75,"scenario 1","knowledge","94","92","89","90"
78,"scenario 1","knowledge","76","2","65","2"
81,"scenario 1","knowledge","94","96","100","97"
90,"scenario 1","knowledge","0","0","0","0"
96,"scenario 1","knowledge","62","57","87","45"
97,"scenario 1","knowledge","81","98","94","87"
104,"scenario 1","knowledge","50","41","28","57"
106,"scenario 1","knowledge","29","20","39","21"
111,"scenario 1","knowledge","1","1","1","1"
112,"scenario 1","knowledge","49","40","6","6"
113,"scenario 1","knowledge","0","1","0","0"
120,"scenario 1","knowledge","0","1","0","0"
130,"scenario 1","knowledge","9","17","12","11"
131,"scenario 1","knowledge","71","100","100","100"
133,"scenario 1","knowledge","56","51","100","63"
141,"scenario 1","knowledge","88","87","90","86"
142,"scenario 1","knowledge","100","100","100","100"
147,"scenario 1","knowledge","100","100","100","100"
149,"scenario 1","knowledge","0","0","0","0"
154,"scenario 1","knowledge","30","51","98","37"
158,"scenario 1","knowledge","100","100","100","100"
160,"scenario 1","knowledge","30","20","30","6"
162,"scenario 1","knowledge","86","92","95","95"
164,"scenario 1","knowledge","0","0","0","0"
169,"scenario 1","knowledge","88","48","15","68"
172,"scenario 1","knowledge","91","91","100","93"
174,"scenario 1","knowledge","83","93","100","97"
184,"scenario 1","knowledge","0","0","0","0"
185,"scenario 1","knowledge","100","100","100","100"
191,"scenario 1","knowledge","0","2","100","3"
193,"scenario 1","knowledge","72","40","67","10"
195,"scenario 1","knowledge","0","11","48","24"
203,"scenario 1","knowledge","0","9","15","0"
210,"scenario 1","knowledge","0","0","0","0"
211,"scenario 1","knowledge","83","89","87","77"
214,"scenario 1","knowledge","89","31","25","96"
217,"scenario 1","knowledge","95","83","78","89"
218,"scenario 1","knowledge","0","1","3","3"
220,"scenario 1","knowledge","100","100","100","100"
225,"scenario 1","knowledge","100","100","100","100"
230,"scenario 1","knowledge","100","100","100","100"
236,"scenario 1","knowledge","55","93","100","89"
237,"scenario 1","knowledge","79","92","100","94"
240,"scenario 1","knowledge","97","76","100","87"
242,"scenario 1","knowledge","0","0","0","0"
243,"scenario 1","knowledge","78","87","100","100"
245,"scenario 1","knowledge","0","0","12","0"
254,"scenario 1","knowledge","91","90","90","90"
260,"scenario 1","knowledge","24","11","6","4"
267,"scenario 1","knowledge","92","87","80","91"
273,"scenario 1","knowledge","0","0","0","0"
276,"scenario 1","knowledge","100","100","100","100"
284,"scenario 1","knowledge","0","90","100","100"
285,"scenario 1","knowledge","11","11","88","21"
288,"scenario 1","knowledge","97","65","95","78"
301,"scenario 1","knowledge","0","0","0","0"
302,"scenario 1","knowledge","36","9","0","0"
306,"scenario 1","knowledge","0","40","0","0"
307,"scenario 1","knowledge","69","65","59","85"
314,"scenario 1","knowledge","65","64","60","67"
315,"scenario 1","knowledge","44","50","100","77"
327,"scenario 1","knowledge","31","22","17","49"
329,"scenario 1","knowledge","10","26","27","0"
330,"scenario 1","knowledge","19","9","37","0"
334,"scenario 1","knowledge","0","0","50","0"
335,"scenario 1","knowledge","0","50","0","0"
345,"scenario 1","knowledge","0","0","0","0"
350,"scenario 1","knowledge","94","86","95","79"
358,"scenario 1","knowledge","94","96","100","99"
362,"scenario 1","knowledge","19","50","60","93"
363,"scenario 1","knowledge","92","91","100","91"
367,"scenario 1","knowledge","96","100","100","100"
368,"scenario 1","knowledge","93","92","100","100"
372,"scenario 1","knowledge","1","1","1","1"
375,"scenario 1","knowledge","0","50","7","0"
379,"scenario 1","knowledge","8","0","0","0"
380,"scenario 1","knowledge","0","7","0","5"
382,"scenario 1","knowledge","0","0","0","0"
387,"scenario 1","knowledge","89","87","100","86"
399,"scenario 1","knowledge","59","6","0","0"
401,"scenario 1","knowledge","0","0","0","0"
1,"scenario 1","ignorance","95","97","96","98"
6,"scenario 1","ignorance","3","3","3","1"
13,"scenario 1","ignorance","40","92","100","92"
14,"scenario 1","ignorance","15","13","12","23"
21,"scenario 1","ignorance","7","23","16","16"
23,"scenario 1","ignorance","19","19","40","40"
24,"scenario 1","ignorance","0","22","0","0"
27,"scenario 1","ignorance","39","59","39","46"
32,"scenario 1","ignorance","3","23","4","3"
34,"scenario 1","ignorance","12","15","4","30"
44,"scenario 1","ignorance","100","100","100","100"
45,"scenario 1","ignorance","93","100","100","100"
48,"scenario 1","ignorance","70","30","74","70"
50,"scenario 1","ignorance","0","0","0","0"
59,"scenario 1","ignorance","98","96","94","94"
60,"scenario 1","ignorance","22","40","100","54"
66,"scenario 1","ignorance","77","47","23","12"
67,"scenario 1","ignorance","0","0","0","0"
70,"scenario 1","ignorance","93","91","100","91"
77,"scenario 1","ignorance","0","24","81","3"
83,"scenario 1","ignorance","0","0","0","0"
85,"scenario 1","ignorance","0","0","0","0"
89,"scenario 1","ignorance","20","26","100","47"
102,"scenario 1","ignorance","77","92","100","100"
103,"scenario 1","ignorance","9","62","63","90"
114,"scenario 1","ignorance","74","61","52","60"
115,"scenario 1","ignorance","1","2","3","3"
117,"scenario 1","ignorance","0","5","50","3"
118,"scenario 1","ignorance","0","8","0","0"
119,"scenario 1","ignorance","40","50","100","100"
122,"scenario 1","ignorance","0","0","52","0"
127,"scenario 1","ignorance","100","100","100","100"
129,"scenario 1","ignorance","100","5","0","0"
132,"scenario 1","ignorance","0","9","0","0"
144,"scenario 1","ignorance","0","0","0","0"
145,"scenario 1","ignorance","100","83","100","100"
148,"scenario 1","ignorance","49","100","100","100"
150,"scenario 1","ignorance","0","0","0","0"
151,"scenario 1","ignorance","0","3","0","0"
159,"scenario 1","ignorance","71","79","89","89"
161,"scenario 1","ignorance","0","89","94","99"
163,"scenario 1","ignorance","0","3","3","4"
168,"scenario 1","ignorance","29","60","100","100"
170,"scenario 1","ignorance","61","52","40","47"
175,"scenario 1","ignorance","0","0","0","0"
183,"scenario 1","ignorance","77","81","77","100"
186,"scenario 1","ignorance","91","96","93","97"
187,"scenario 1","ignorance","91","91","51","93"
189,"scenario 1","ignorance","3","68","84","79"
192,"scenario 1","ignorance","0","0","0","0"
