"scenario","epistemic_condition","action","hadTo","mean","moralityMean","normalityMean","probabilityMean","modalDistance","moralDistance","probDistance","normDistance"
"scenario 1","ignorance","call a taxi",71.2142857142857,84.8421052631579,87.1052631578947,85.2105263157895,82.2105263157895,0.5069,0.6766,0.4227,0.5512
"scenario 1","ignorance","demand that the airline delays the flight",15.1,9.69047619047619,9.5,4.5,15.0714285714286,0.9801,0.9743,0.9051,0.9609
"scenario 1","ignorance","reschedule for a later flight",54.8888888888889,89.5,93.875,89.125,85.5,0.4417,0.6067,0.3861,0.5289
"scenario 1","ignorance","steal a passing driver's car",0.941176470588235,3,0.466666666666667,0.666666666666667,7.86666666666667,0.9974,0.99,0.9558,0.9797
"scenario 1","ignorance","take a public bus",55.8461538461538,65.95,79.85,62.15,55.85,0.704,0.7499,0.6528,0.7193
"scenario 1","ignorance","try to convince a passing driver to trade cars",14.6470588235294,21.2142857142857,25,18.5,20.1428571428571,0.9628,0.9566,0.875,0.9048
"scenario 1","knowledge","call a taxi",77.8421052631579,81.7142857142857,84.0714285714286,81.6428571428571,79.4285714285714,0.5189,0.6415,0.4686,0.5736
"scenario 1","knowledge","demand that the airline delays the flight",15,14.0833333333333,13.4,10.6,18.25,0.9653,0.9512,0.8778,0.94
"scenario 1","knowledge","reschedule for a later flight",79.0625,80.3148148148148,86.2777777777778,83.5,71.1666666666667,0.5393,0.6146,0.5244,0.5451
"scenario 1","knowledge","steal a passing driver's car",1.66666666666667,10.3529411764706,1.23529411764706,12.5294117647059,17.2941176470588,0.9723,0.9781,0.8855,0.9345
"scenario 1","knowledge","take a public bus",58.35,78.2820512820513,85.7692307692308,81.5384615384615,67.5384615384615,0.561,0.6315,0.5744,0.5736
"scenario 1","knowledge","try to convince a passing driver to trade cars",29.9285714285714,18.7254901960784,27.2352941176471,11.6470588235294,17.2941176470588,0.9498,0.9267,0.8855,0.9345
"scenario 10","ignorance","get her arm stuck in solidarity",6.33333333333333,6.0625,9.625,3.6875,4.875,0.9285,0.918,0.934,0.9223
"scenario 10","ignorance","give Todd her water",58.5882352941176,79.1875,91.625,76.8125,69.125,0.5598,0.5557,0.5955,0.6454
"scenario 10","ignorance","hike until she finds cell service",70.8823529411765,71.5490196078431,74.8235294117647,72.1764705882353,67.6470588235294,0.6693,0.7036,0.6203,0.6844
"scenario 10","ignorance","leave Todd to save herself",32.1666666666667,54.1515151515152,44.5909090909091,54.8636363636364,63,0.8052,0.8611,0.6583,0.8036
"scenario 10","ignorance","saw Todd's arm off",25.7222222222222,3.69047619047619,4.14285714285714,1.35714285714286,5.57142857142857,0.9304,0.9224,0.932,0.9323
"scenario 10","ignorance","yell at Todd for getting stuck",5.73684210526316,21.7777777777778,14.4,23.3333333333333,27.6,0.8885,0.9117,0.8655,0.8719
"scenario 10","knowledge","get her arm stuck in solidarity",5,3.74074074074074,10.3333333333333,0.333333333333333,0.555555555555556,0.9413,0.9229,0.9539,0.94
"scenario 10","knowledge","give Todd her water",55.0625,84.2352941176471,94.9411764705882,84.2941176470588,73.4705882352941,0.5214,0.5166,0.56,0.5935
"scenario 10","knowledge","hike until she finds cell service",65.2941176470588,79.3333333333333,83.1764705882353,79.9411764705882,74.8823529411765,0.6026,0.6649,0.5546,0.639
"scenario 10","knowledge","leave Todd to save herself",51.0909090909091,40.6944444444444,29.6666666666667,47.0833333333333,45.3333333333333,0.8659,0.8989,0.7959,0.8344
"scenario 10","knowledge","saw Todd's arm off",3.07142857142857,16.1111111111111,25.2222222222222,10.7222222222222,12.3888888888889,0.9203,0.9006,0.9047,0.9092
"scenario 10","knowledge","yell at Todd for getting stuck",7.8,31.7894736842105,9.1578947368421,38.7368421052632,47.4736842105263,0.8865,0.9267,0.7918,0.8626
"scenario 11","ignorance","call others for help",76.9545454545455,94.7222222222222,97.8333333333333,92.75,93.5833333333333,0.3656,0.5444,0.3373,0.5186
"scenario 11","ignorance","grab Maria and hold her",87.2352941176471,83.5882352941177,89.3529411764706,84.2352941176471,77.1764705882353,0.61,0.6667,0.5855,0.6327
"scenario 11","ignorance","kidnap Maria",19.0909090909091,17.3636363636364,19.0909090909091,12.3636363636364,20.6363636363636,0.935,0.9397,0.9217,0.9303
"scenario 11","ignorance","persuade Maria to wait for her father",89.1111111111111,97.3125,99.125,97,95.8125,0.3124,0.5004,0.315,0.4049
"scenario 11","ignorance","tell the man to leave",91.3571428571429,89.4666666666667,94.2,90.05,84.15,0.4888,0.5913,0.4674,0.5551
"scenario 11","ignorance","try to buy Maria candy at a store nearby",25.9,47.4047619047619,60.1428571428571,41.2857142857143,40.7857142857143,0.886,0.8434,0.8747,0.8908
"scenario 11","knowledge","call others for help",93,82.1363636363636,90.9545454545455,82.6363636363636,72.8181818181818,0.639,0.6876,0.5862,0.6531
