StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,s1kn_hadto_1,s1kn_rating_1,s1kn_rating_2,s1kn_rating_3,s1ig_hadto_1,s1ig_rating_1,s1ig_rating_2,s1ig_rating_3,s2kn_hadto_1,s2kn_rating_1,s2kn_rating_2,s2kn_rating_3,s2ig_hadto_1,s2ig_rating_1,s2ig_rating_2,s2ig_rating_3,s3kn_hadto_1,s3kn_rating_1,s3kn_rating_2,s3kn_rating_3,s3ig_hadto_1,s3ig_rating_1,s3ig_rating_2,s3ig_rating_3,s4kn_hadto_1,s4kn_rating_1,s4kn_rating_2,s4kn_rating_3,s4ig_hadto_1,s4ig_rating_1,s4ig_rating_2,s4ig_rating_3,s5kn_hadto_1,s5kn_rating_1,s5kn_rating_2,s5kn_rating_3,s5ig_hadto_1,s5ig_rating_1,s5ig_rating_2,s5ig_rating_3,s6kn_hadto_1,s6kn_rating_1,s6kn_rating_2,s6kn_rating_3,s6ig_hadto_1,s6ig_rating_1,s6ig_rating_2,s6ig_rating_3,s7kn_hadto_1,s7kn_rating_1,s7kn_rating_2,s7kn_rating_3,s7ig_hadto_1,s7ig_rating_1,s7ig_rating_2,s7ig_rating_3,s8kn_hadto_1,s8kn_rating_1,s8kn_rating_2,s8kn_rating_3,s8ig_hadto_1,s8ig_rating_1,s8ig_rating_2,s8ig_rating_3,s9kn_hadto_1,s9kn_rating_1,s9kn_rating_2,s9kn_rating_3,s9ig_hadto_1,s9ig_rating_1,s9ig_rating_2,s9ig_rating_3,s10kn_hadto_1,s10kn_rating_1,s10kn_rating_2,s10kn_rating_3,s10ig_hadto_1,s10ig_rating_1,s10ig_rating_2,s10ig_rating_3,s11kn_hadto_1,s11kn_rating_1,s11kn_rating_2,s11kn_rating_3,s11ig_hadto_1,s11ig_rating_1,s11ig_rating_2,s11ig_rating_3,s12kn_hadto_1,s12kn_rating_1,s12kn_rating_2,s12kn_rating_3,s12ig_hadto_1,s12ig_rating_1,s12ig_rating_2,s12ig_rating_3,s13kn_hadto_1,s13kn_rating_1,s13kn_rating_2,s13kn_rating_3,s13ig_hadto_1,s13ig_rating_1,s13ig_rating_2,s13ig_rating_3,s14kn_hadto_1,s14kn_rating_1,s14kn_rating_2,s14kn_rating_3,s14ig_hadto_1,s14ig_rating_1,s14ig_rating_2,s14ig_rating_3,s15kn_hadto_1,s15kn_rating_1,s15kn_rating_2,s15kn_rating_3,s15ig_hadto_1,s15ig_rating_1,s15ig_rating_2,s15ig_rating_3,s16kn_hadto_1,s16kn_rating_1,s16kn_rating_2,s16kn_rating_3,s16ig_hadto_1,s16ig_rating_1,s16ig_rating_2,s16ig_rating_3,age ,age _1_TEXT,gender ,ethnicity ,ethnicity _10_TEXT,feedback ,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,"Josh decides to [Field-S1A].



How much do you agree with the following statement: 

 

""Josh had to [Field-S1A]."" - 1",Consider again what Josh did: [Field-S1A]. - How probable was it that Josh would do this?,Consider again what Josh did: [Field-S1A]. - How morally acceptable was it for Josh to do this?,Consider again what Josh did: [Field-S1A]. - How normal was it for Josh to do this?,"Josh decides to [Field-S1A].



How much you agree with the following statement:



 ""Josh had to [Field-S1A]."" - Josh decides to ${e://Field/S1A}.



How much you agree with the following statement:



 ""Josh had to ${e://Field/S1A}.""",Consider again what Josh did: [Field-S1A]. - How probable was it that Josh would do this?,Consider again what Josh did: [Field-S1A]. - How morally acceptable was it for Josh to do this?,Consider again what Josh did: [Field-S1A]. - How normal was it for Josh to do this?,"Liz decides to [Field-S2A].



How much do you agree with the following statement: 

 

""Liz had to [Field-S2A]."" - 1",Consider again what Liz did: [Field-S2A]. - How probable was it that Liz would do this?,Consider again what Liz did: [Field-S2A]. - How morally acceptable was it for Liz to do this?,Consider again what Liz did: [Field-S2A]. - How normal was it for Liz to do this?,"Liz decides to [Field-S2A].



How much do you agree with the following statement: 

 

""Liz had to [Field-S2A]."" - 1",Consider again what Liz did: [Field-S2A]. - How probable was it that Liz would do this?,Consider again what Liz did: [Field-S2A]. - How morally acceptable was it for Liz to do this?,Consider again what Liz did: [Field-S2A]. - How normal was it for Liz to do this?,"Darya decides to [Field-S3A].



How much do you agree with the following statement: 

 

""Darya had to [Field-S3A]."" - 1",Consider again what Darya did: [Field-S3A]. - How probable was it that Darya would do this?,Consider again what Darya did: [Field-S3A]. - How morally acceptable was it for Darya to do this?,Consider again what Darya did: [Field-S3A]. - How normal was it for Darya to do this?,"Darya decides to [Field-S3A].



How much do you agree with the following statement: 

 

""Darya had to [Field-S3A]."" - 1",Consider again what Darya did: [Field-S3A]. - How probable was it that Darya would do this?,Consider again what Darya did: [Field-S3A]. - How morally acceptable was it for Darya to do this?,Consider again what Darya did: [Field-S3A]. - How normal was it for Darya to do this?,"Ahmed decides to [Field-S4A].



How much do you agree with the following statement: 

 

""Ahmed had to [Field-S4A]."" - 1",Consider again what Ahmed did: [Field-S4A]. - How probable was it that Ahmed would do this?,Consider again what Ahmed did: [Field-S4A]. - How morally acceptable was it for Ahmed to do this?,Consider again what Ahmed did: [Field-S4A]. - How normal was it for Ahmed to do this?,"Ahmed decides to [Field-S4A].



How much do you agree with the following statement: 

 

""Ahmed had to [Field-S4A]."" - 1",Consider again what Ahmed did: [Field-S4A]. - How probable was it that Ahmed would do this?,Consider again what Ahmed did: [Field-S4A]. - How morally acceptable was it for Ahmed to do this?,Consider again what Ahmed did: [Field-S4A]. - How normal was it for Ahmed to do this?,"Brad decides to [Field-S5A].



How much do you agree with the following statement: 

 

""Brad had to [Field-S5A]."" - 1",Consider again what Brad did: [Field-S5A]. - How probable was it that Brad would do this?,Consider again what Brad did: [Field-S5A]. - How morally acceptable was it for Brad to do this?,Consider again what Brad did: [Field-S5A]. - How normal was it for Brad to do this?,"Brad decides to [Field-S5A].



How much do you agree with the following statement: 

 

""Brad had to [Field-S5A]."" - 1",Consider again what Brad did: [Field-S5A]. - How probable was it that Brad would do this?,Consider again what Brad did: [Field-S5A]. - How morally acceptable was it for Brad to do this?,Consider again what Brad did: [Field-S5A]. - How normal was it for Brad to do this?,"Eunice decides to [Field-S6A].



How much do you agree with the following statement: 

 

""Eunice had to [Field-S6A]."" - 1",Consider again what Eunice did: [Field-S6A]. - How probable was it that Eunice would do this?,Consider again what Eunice did: [Field-S6A]. - How morally acceptable was it for Eunice to do this?,Consider again what Eunice did: [Field-S6A]. - How normal was it for Eunice to do this?,"Eunice decides to [Field-S6A].



How much do you agree with the following statement: 

 

""Eunice had to [Field-S6A]."" - 1",Consider again what Eunice did: [Field-S6A]. - How probable was it that Eunice would do this?,Consider again what Eunice did: [Field-S6A]. - How morally acceptable was it for Eunice to do this?,Consider again what Eunice did: [Field-S6A]. - How normal was it for Eunice to do this?,"Cameron decides to [Field-S7A].



How much do you agree with the following statement: 

 

""Cameron had to [Field-S7A]."" - 1",Consider again what Cameron did: [Field-S7A]. - How probable was it that Cameron would do this?,Consider again what Cameron did: [Field-S7A]. - How morally acceptable was it for Cameron to do this?,Consider again what Cameron did: [Field-S7A]. - How normal was it for Cameron to do this?,"Cameron decides to [Field-S7A].



How much do you agree with the following statement: 

 

""Cameron had to [Field-S7A]."" - 1",Consider again what Cameron did: [Field-S7A]. - How probable was it that Cameron would do this?,Consider again what Cameron did: [Field-S7A]. - How morally acceptable was it for Cameron to do this?,Consider again what Cameron did: [Field-S7A]. - How normal was it for Cameron to do this?,"Erica decides to [Field-S8A].



How much do you agree with the following statement: 

 

""Erica had to [Field-S8A]."" - 1",Consider again what Erica did: [Field-S8A]. - How probable was it that Erica would do this?,Consider again what Erica did: [Field-S8A]. - How morally acceptable was it for Erica to do this?,Consider again what Erica did: [Field-S8A]. - How normal was it for Erica to do this?,"Erica decides to [Field-S8A].



How much do you agree with the following statement: 

 

""Erica had to [Field-S8A]."" - 1",Consider again what Erica did: [Field-S8A]. - How probable was it that Erica would do this?,Consider again what Erica did: [Field-S8A]. - How morally acceptable was it for Erica to do this?,Consider again what Erica did: [Field-S8A]. - How normal was it for Erica to do this?,"Carl decides to [Field-S9A].



How much do you agree with the following statement: 

 

""Carl had to [Field-S9A]."" - 1",Consider again what Carl did: [Field-S9A]. - How probable was it that Carl  would do this?,Consider again what Carl did: [Field-S9A]. - How morally acceptable was it for Carl  to do this?,Consider again what Carl did: [Field-S9A]. - How normal was it for Carl to do this?,"Carl decides to [Field-S9A].



How much do you agree with the following statement: 

 

""Carl had to [Field-S9A]."" - 1",Consider again what Carl did: [Field-S9A]. - How probable was it that Carl  would do this?,Consider again what Carl did: [Field-S9A]. - How morally acceptable was it for Carl  to do this?,Consider again what Carl did: [Field-S9A]. - How normal was it for Carl to do this?,"Eva decides to [Field-S10A].



How much do you agree with the following statement: 

 

""Eva had to [Field-S10A]."" - 1",Consider again what Eva did: [Field-S10A]. - How probable was it that Eva would do this?,Consider again what Eva did: [Field-S10A]. - How morally acceptable was it for Eva to do this?,Consider again what Eva did: [Field-S10A]. - How normal was it for Eva to do this?,"Eva decides to [Field-S10A].



How much do you agree with the following statement: 

 

""Eva had to [Field-S10A]."" - 1",Consider again what Eva did: [Field-S10A]. - How probable was it that Eva would do this?,Consider again what Eva did: [Field-S10A]. - How morally acceptable was it for Eva to do this?,Consider again what Eva did: [Field-S10A]. - How normal was it for Eva to do this?,"Annie decides to [Field-S11A].



How much do you agree with the following statement: 

 

""Annie had to [Field-S11A]."" - 1",Consider again what Annie did: [Field-S11A]. - How probable was it that Annie would do this?,Consider again what Annie did: [Field-S11A]. - How morally acceptable was it for Annie to do this?,Consider again what Annie did: [Field-S11A]. - How normal was it for Annie to do this?,"Annie decides to [Field-S11A].



How much do you agree with the following statement: 

 

""Annie had to [Field-S11A]."" - 1",Consider again what Annie did: [Field-S11A]. - How probable was it that Annie would do this?,Consider again what Annie did: [Field-S11A]. - How morally acceptable was it for Annie to do this?,Consider again what Annie did: [Field-S11A]. - How normal was it for Annie to do this?,"Tony decides to [Field-S12A].



How much do you agree with the following statement: 

 

""Tony had to [Field-S12A]."" - 1",Consider again what Tony did: [Field-S12A]. - How probable was it that Tony  would do this?,Consider again what Tony did: [Field-S12A]. - How morally acceptable was it for Tony  to do this?,Consider again what Tony did: [Field-S12A]. - How normal was it for Tony to do this?,"Tony decides to [Field-S12A].



How much do you agree with the following statement: 

 

""Tony had to [Field-S12A]."" - 1",Consider again what Tony did: [Field-S12A]. - How probable was it that Tony  would do this?,Consider again what Tony did: [Field-S12A]. - How morally acceptable was it for Tony  to do this?,Consider again what Tony did: [Field-S12A]. - How normal was it for Tony to do this?,"Jamie decides to [Field-S13A].



How much do you agree with the following statement: 

 

""Jamie had to [Field-S13A]."" - 1",Consider again what Jamie did: [Field-S13A]. - How probable was it that Jamie would do this?,Consider again what Jamie did: [Field-S13A]. - How morally acceptable was it for Jamie to do this?,Consider again what Jamie did: [Field-S13A]. - How normal was it for Jamie to do this?,"Jamie decides to [Field-S13A].



How much do you agree with the following statement: 

 

""Jamie had to [Field-S13A]."" - 1",Consider again what Jamie did: [Field-S13A]. - How probable was it that Jamie would do this?,Consider again what Jamie did: [Field-S13A]. - How morally acceptable was it for Jamie to do this?,Consider again what Jamie did: [Field-S13A]. - How normal was it for Jamie to do this?,"Maddox decides to [Field-S14A].



How much do you agree with the following statement: 

 

""Maddox had to [Field-S14A]."" - 1",Consider again what Maddox did: [Field-S14A]. - How probable was it that Maddox would do this?,Consider again what Maddox did: [Field-S14A]. - How morally acceptable was it for Maddox to do this?,Consider again what Maddox did: [Field-S14A]. - How normal was it for Maddox to do this?,"Maddox decides to [Field-S14A].



How much do you agree with the following statement: 

 

""Maddox had to [Field-S14A]."" - 1",Consider again what Maddox did: [Field-S14A]. - How probable was it that Maddox would do this?,Consider again what Maddox did: [Field-S14A]. - How morally acceptable was it for Maddox to do this?,Consider again what Maddox did: [Field-S14A]. - How normal was it for Maddox to do this?,"Alex decides to [Field-S15A].



How much do you agree with the following statement: 

 

""Alex had to [Field-S15A]."" - 1",Consider again what Alex did: [Field-S15A]. - How probable was it that Alex would do this?,Consider again what Alex did: [Field-S15A]. - How morally acceptable was it for Alex to do this?,Consider again what Alex did: [Field-S15A]. - How normal was it for Alex to do this?,"Alex decides to [Field-S15A].



How much do you agree with the following statement: 

 

""Alex had to [Field-S15A]."" - 1",Consider again what Alex did: [Field-S15A]. - How probable was it that Alex would do this?,Consider again what Alex did: [Field-S15A]. - How morally acceptable was it for Alex to do this?,Consider again what Alex did: [Field-S15A]. - How normal was it for Alex to do this?,"Elaina decides to [Field-S16A].



How much do you agree with the following statement: 

 

""Elaina had to [Field-S16A]."" - 1",Consider again what Elaina did: [Field-S16A]. - How probable was it that Elaina would do this?,Consider again what Elaina did: [Field-S16A]. - How morally acceptable was it for Elaina to do this?,Consider again what Elaina did: [Field-S16A]. - How normal was it for Elaina to do this?,"Elaina decides to [Field-S16A].



How much do you agree with the following statement: 

 

""Elaina had to [Field-S16A]."" - 1",Consider again what Elaina did: [Field-S16A]. - How probable was it that Elaina would do this?,Consider again what Elaina did: [Field-S16A]. - How morally acceptable was it for Elaina to do this?,Consider again what Elaina did: [Field-S16A]. - How normal was it for Elaina to do this?,What is your age? - Selected Choice,What is your age? - My age in years is - Text,What is your gender?,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other - Text,"If you experienced any issues with the survey or if you have any suggestions for improvements or thoughts you would like to share, please comment below.",S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID109_2""}","{""ImportId"":""QID109_3""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID46_3""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID52_3""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_3""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_3""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID64_2""}","{""ImportId"":""QID64_3""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID67_3""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID70_2""}","{""ImportId"":""QID70_3""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID73_2""}","{""ImportId"":""QID73_3""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID76_2""}","{""ImportId"":""QID76_3""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID79_2""}","{""ImportId"":""QID79_3""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID85_2""}","{""ImportId"":""QID85_3""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID88_3""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID91_2""}","{""ImportId"":""QID91_3""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID94_2""}","{""ImportId"":""QID94_3""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID97_2""}","{""ImportId"":""QID97_3""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID100_2""}","{""ImportId"":""QID100_3""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID103_2""}","{""ImportId"":""QID103_3""}","{""ImportId"":""QID114""}","{""ImportId"":""QID114_1_TEXT""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID116_10_TEXT""}","{""ImportId"":""QID117_TEXT""}","{""ImportId"":""S1A""}","{""ImportId"":""S2A""}","{""ImportId"":""S3A""}","{""ImportId"":""S4A""}","{""ImportId"":""S5A""}","{""ImportId"":""S6A""}","{""ImportId"":""S7A""}","{""ImportId"":""S8A""}","{""ImportId"":""S9A""}","{""ImportId"":""S10A""}","{""ImportId"":""S11A""}","{""ImportId"":""S12A""}","{""ImportId"":""S13A""}","{""ImportId"":""S14A""}","{""ImportId"":""S15A""}","{""ImportId"":""S16A""}"
12/2/24 20:16,12/2/24 20:18,Survey Preview,100,93,TRUE,12/2/24 20:18,,,,,preview,EN,67,36,13,64,,,,,,,,,,,,,,,,,49,40,13,74,,,,,,,,,,,,,,,,,,,,,70,51,8,34,,,,,,,,,,,,,,,,,,,,,74,44,4,82,,,,,63,49,21,63,,,,,79,47,34,79,,,,,,,,,81,36,22,70,,,,,,,,,,,,,71,30,59,31,,,,,,,,,50,38,24,52,,,,,,,steal a passing driver's car,,bribe the security,,,wave to the parents,,,pretend to be dead,yell at Todd for getting stuck,tell the man to leave,,rob a bank,,identify the location in the building where the fire started,lie to her boyfriend that she forgot about the dinner and has made alternative plans
12/12/24 16:49,12/12/24 16:58,Survey Preview,100,486,TRUE,12/12/24 16:58,,,,,preview,EN,9,8,92,9,,,,,17,19,91,17,,,,,3,7,87,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,6,,,,,12,32,55,30,,,,,,,,,,,,,,,,,,,,,18,26,88,27,,,,,30,30,64,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,20,35,20,,,,,,,,,,,reschedule for a later flight,send an Uber driver to pick up her wallet and ID,try to buy a ticket off another person,,,,yell in gibberish until she leaves,check that the doors are locked,,,call others for help,find other people to help him ram the door,,,,take the kids to the restaurant
12/12/24 17:17,12/12/24 17:24,Survey Preview,100,427,TRUE,12/12/24 17:24,,,,,preview,EN,,,,,,,,,,,,,,,,,,,,,8,7,2,12,33,8,21,2,,,,,80,90,100,84,,,,,32,23,94,14,,,,,,,,,,,,,50,31,72,30,,,,,,,,,,,,,,,,,,,,,,,,,95,83,96,92,,,,,,,,,,,,,,,,,,,,,,,,,66,87,84,100,,,,,19,39,31,58,,,,,,,,,,,,,try to dress up as venue staff,serve engine fuel to the passengers,attempt to search for a water source,make cat noises at him until he leaves,,call emergency services,,,persuade Maria to wait for her father,,,,check through surveillance footage,agree to babysit Ben's kids and be late to the dinner
12/20/24 13:18,12/20/24 13:37,Survey Preview,100,1151,TRUE,12/20/24 13:37,,,,,preview,EN,,,,,42,30,44,50,,,,,46,33,47,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,29,35,45,,,,,,,,,,,,,65,29,29,47,,,,,71,44,52,52,,,,,,,,,,,,,,,,,40,33,38,44,,,,,44,42,52,48,,,,,55,37,47,45,,,,,,,,,,,,,,,,,,,,,,,demand that the airline delays the flight,wait at her car in case her friend is looking for her,,,,,refuse to drive her,,hide behind some bushes,get her arm stuck in solidarity,,call a locksmith,sell his wedding ring to earn the remaining amount,turn the plane around,,
12/20/24 18:19,12/20/24 18:22,Survey Preview,100,156,TRUE,12/20/24 18:22,,,,,preview,EN,,,,,,,,,7,5,7,5,,,,,7,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,8,12,8,17,,,,,,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,45,28,80,42,,,,,10,5,5,7,,,,,,,,,,,,,,,,,91,6,6,6,,,,,,,,,,,,,7,0,0,0,,,,,,,,steal the wallet of someone else,pretend that they are family members of the band to get into the venue,,,tackle him and hold him down,,,use a loud whistle,,try to buy Maria candy at a store nearby,slide some dog treats underneath the door,,send an emergency call,,ask her boyfriend to help her babysit
12/20/24 22:14,12/20/24 22:20,IP Address,100,404,TRUE,12/20/24 22:20,,,,,anonymous,EN,,,,,95,97,96,98,,,,,,,,,,,,,,,,,68,64,74,59,,,,,,,,,,,,,,,,,51,40,65,38,,,,,70,60,75,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,83,76,81,,,,,,,,,0,0,0,0,,,,,65,51,50,49,,,,,,,,,0,31,2,0,,,,,,,,,,,take a public bus,,,organize a few fishing crews to go out on their own,,wave to the parents,call her a cab,,,,,slide some dog treats underneath the door,rob a bank,set the plane on autopilot and jump off with a parachute,,lie to her boyfriend that she forgot about the dinner and has made alternative plans
12/20/24 22:17,12/20/24 22:20,IP Address,100,192,TRUE,12/20/24 22:20,,,,,anonymous,EN,,,,,,,,,,,,,0,1,0,0,,,,,0,4,5,0,,,,,,,,,,,,,45,62,80,82,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,95,96,100,96,,,,,0,18,0,20,,,,,94,95,100,97,,,,,,,,,,,,,,,,,,,,,,,,,7,45,5,29,,,,,,,,,,,,,,,,,,,,steal the wallet of someone else,try to dress up as venue staff,,attempt to search for a water source,,,light a fire under the car,call the park rangers,yell at Todd for getting stuck,call others for help,,,,just conclude that it's the restaurant owner's own fault,
12/20/24 22:21,12/20/24 22:25,IP Address,100,196,TRUE,12/20/24 22:25,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,24,15,8,8,81,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,54,65,74,,,,,23,71,64,68,,,,,43,69,82,65,,,,,,,,,11,24,54,39,,,,,,,,,23,79,85,70,,,,,,,,,77,86,87,79,,,,,,,,,,,,,,,,,,throw disobedient passengers off the boat,boost morale with a three-legged race,,,,hide behind some bushes,hike until she finds cell service,grab Maria and hold her,find other people to help him ram the door,,send an emergency call,check for ignition devices,
